CONFIG_ID,SPECIES_SYMBOL,SPECIES_NUM,CF_MIN_DBH,CF_VOL_EQ,CF_VOL_SP,COEF_TABLE,COEF_TBL_SP
S26LWOR,ABAM,11,5,CU000077,ABAM,PNW_coefs_2,11
S26LWOR,ABCO,15,5,CU015005,,PNW_coefs_5,15
S26LWOR,ABGR,17,5,CU000077,ABAM,PNW_coefs_2,11
S26LWOR,ABLA,19,5,CU000077,ABAM,PNW_coefs_2,11
S26LWOR,ABMA,20,5,CU020001,,PNW_coefs_6,20
S26LWOR,ABSH,21,5,CU020001,,PNW_coefs_6,21
S26LWOR,ABPR,22,5,CU000077,ABAM,PNW_coefs_2,11
S26LWOR,CHLA,41,5,CU081001,,PNW_coefs_7,41
S26LWOR,CHNO,42,5,CU000077,THPL,PNW_coefs_2,242
S26LWOR,JUCA7,62,5,CU065002,,RMRS_coefs_5,62
S26LWOR,JUOC,64,5,CU064012,,PNW_coefs_21,64
S26LWOR,JUOS,65,5,CU065002,,RMRS_coefs_5,65
S26LWOR,JUSC2,66,5,CU066001,,RMRS_coefs_5,66
S26LWOR,LAOC,73,5,CU000087,LAOC,PNW_coefs_2,73
S26LWOR,CADE27,81,5,CU081001,,PNW_coefs_7,81
S26LWOR,PIBR,92,5,CU000077,PISI,PNW_coefs_2,98
S26LWOR,PIEN,93,5,CU000077,PISI,PNW_coefs_2,98
S26LWOR,PISI,98,5,CU000077,PISI,PNW_coefs_2,98
S26LWOR,PIAL,101,5,CU000087,PICO,PNW_coefs_2,108
S26LWOR,PIAT,103,5,CU000087,PICO,PNW_coefs_2,108
S26LWOR,PICO,108,5,CU000087,PICO,PNW_coefs_2,108
S26LWOR,PIFL2,113,5,CU000087,PICO,PNW_coefs_2,108
S26LWOR,PIJE,116,5,CU122011,,PNW_coefs_9,116
S26LWOR,PILA,117,5,CU119005,,PNW_coefs_9,117
S26LWOR,PIMO3,119,5,CU000087,PICO,PNW_coefs_2,108
S26LWOR,PIMU,120,5,CU108003,,PNW_coefs_8,120
S26LWOR,PIPO,122,5,CU122011,,PNW_coefs_9,122
S26LWOR,PISY,130,5,CU000087,PICO,PNW_coefs_2,108
S26LWOR,PIMO,133,5,CU133001,,RMRS_coefs_5,133
S26LWOR,PSME,202,5,CU202020,,PNW_coefs_16,202
S26LWOR,SESE3,211,5,CU000102,SESE3,PNW_coefs_4,211
S26LWOR,SEGI2,212,5,CU000102,SESE3,PNW_coefs_4,211
S26LWOR,TABR2,231,5,CU000077,THPL,PNW_coefs_2,242
S26LWOR,THPL,242,5,CU000077,THPL,PNW_coefs_2,242
S26LWOR,TSHE,263,5,CU263004,,PNW_coefs_11,263
S26LWOR,TSME,264,5,CU264003,,PNW_coefs_12,264
S26LWOR,2TE,299,5,CU264003,,PNW_coefs_12,299
S26LWOR,ACMA3,312,5,CU000025,ACMA3,PNW_coefs_1,312
S26LWOR,ACNE2,313,5,CU000025,ACMA3,PNW_coefs_1,312
S26LWOR,ACPL,320,5,CU000025,ACMA3,PNW_coefs_1,312
S26LWOR,ACGL,321,5,CU475001,,RMRS_coefs_5,321
S26LWOR,AIAL,341,5,CU000087,ALRU2,PNW_coefs_2,351
S26LWOR,ALRU2,351,5,CU351004,,PNW_coefs_13,351
S26LWOR,ALRH2,352,5,CU000087,ALRU2,PNW_coefs_2,351
S26LWOR,ARME,361,5,CU000025,ARME,PNW_coefs_1,361
S26LWOR,BEOC2,374,5,CU351004,,PNW_coefs_13,374
S26LWOR,BEPA,375,5,CU351004,,PNW_coefs_13,375
S26LWOR,CHCHC4,431,5,CU000025,CHCHC4,PNW_coefs_1,431
S26LWOR,CELE3,475,5,CU475001,,RMRS_coefs_5,475
S26LWOR,CONU4,492,5,CU351004,,PNW_coefs_13,492
S26LWOR,CRATA,500,5,CU351004,,PNW_coefs_13,500
S26LWOR,EUCAL,510,5,CU351004,,PNW_coefs_13,510
S26LWOR,FRAXI,540,5,CU000025,QUKE,PNW_coefs_1,818
S26LWOR,FRLA,542,5,CU000025,QUKE,PNW_coefs_1,818
S26LWOR,ILOP,591,5,CU351004,,PNW_coefs_13,591
S26LWOR,JUGLA,600,5,CU351004,,PNW_coefs_13,600
S26LWOR,JUNI,602,5,CU351004,,PNW_coefs_13,602
S26LWOR,JUHI,603,5,CU000025,QUKE,PNW_coefs_1,818
S26LWOR,LIDE3,631,5,CU000025,LIDE3,PNW_coefs_1,631
S26LWOR,MALUS,660,5,CU351004,,PNW_coefs_13,660
S26LWOR,MAFU,661,5,CU351004,,PNW_coefs_13,661
S26LWOR,PLRA,730,5,CU351004,,PNW_coefs_13,730
S26LWOR,POTR5,746,5,CU351004,,PNW_coefs_13,746
S26LWOR,POBAT,747,5,CU351004,,PNW_coefs_13,747
S26LWOR,PRUNU,760,5,CU351004,,PNW_coefs_13,760
S26LWOR,PRVI,763,5,CU351004,,PNW_coefs_13,763
S26LWOR,PRAM,766,5,CU351004,,PNW_coefs_13,766
S26LWOR,PREM,768,5,CU351004,,PNW_coefs_13,768
S26LWOR,QUCH2,805,5,CU000025,QUCH2,PNW_coefs_1,805
S26LWOR,QUGA4,815,5,CU000025,QUGA4,PNW_coefs_1,815
S26LWOR,QUKE,818,5,CU000025,QUKE,PNW_coefs_1,818
S26LWOR,ROPS,901,5,CU000025,ACMA3,PNW_coefs_1,312
S26LWOR,SALIX,920,5,CU351004,,PNW_coefs_13,920
S26LWOR,SAPY,926,5,CU351004,,PNW_coefs_13,926
S26LWOR,UMCA,981,5,CU000025,UMCA,PNW_coefs_1,981
S26LWOR,ELAN,997,5,CU000025,ACMA3,PNW_coefs_1,312
S26LWOR,2TB,998,5,CU351004,,PNW_coefs_13,998
S26LWOR,2TREE,999,5,CU351004,,PNW_coefs_13,999
